defect_id,product,defect_type,severity,inspection_date,plant,lot_number,action_taken,source
DEF-SEED025,Structural Rib,fatigue,high,2024-05-15,Plant B,LOT-1025,Stop-drilled crack repaired per SRM,seed
DEF-SEED026,Hydraulic Pump Assembly,wear,high,2024-05-20,Plant C,LOT-1026,Replaced pump assembly and retested,seed
DEF-SEED027,Control Valve Body,leakage,medium,2024-05-25,Plant A,LOT-1027,Replaced valve body O-rings and pressure-tested,seed
DEF-SEED028,Actuator Rod,crack,critical,2024-06-01,Plant B,LOT-1028,Condemned rod raised NCR and replaced,seed
DEF-SEED029,Electrical Connector,corrosion,high,2024-06-05,Plant C,LOT-1029,Replaced connector cleaned mating surface,seed
DEF-SEED030,Bracket Assembly,fatigue,medium,2024-06-10,Plant A,LOT-1030,Replaced bracket updated inspection interval,seed
DEF-SEED031,Filter Housing,contamination,low,2024-06-15,Plant B,LOT-1031,Replaced filter and flushed housing,seed
DEF-SEED032,Sensor Module,vibration,medium,2024-06-20,Plant C,LOT-1032,Replaced vibration isolators recalibrated,seed
DEF-SEED033,Manifold Block,crack,high,2024-06-25,Plant A,LOT-1033,NDE inspection replaced manifold,seed
DEF-SEED034,Bearing Assembly,overheating,critical,2024-07-01,Plant B,LOT-1034,Replaced bearing checked lubrication system,seed
DEF-SEED035,Piston Rod,wear,medium,2024-07-05,Plant C,LOT-1035,Replaced rod assembly measured bore clearance,seed
DEF-SEED036,Compressor Housing,crack,high,2024-07-10,Plant A,LOT-1036,Borescope inspection replaced housing,seed
DEF-SEED037,Relay Module,short circuit,critical,2024-07-15,Plant B,LOT-1037,Replaced relay isolated circuit fault,seed
DEF-SEED038,Seal Assembly,contamination,medium,2024-07-20,Plant C,LOT-1038,Replaced seals flushed system,seed
DEF-SEED039,Hydraulic Cylinder,corrosion,high,2024-07-25,Plant A,LOT-1039,Treated corrosion replaced cylinder liner,seed
DEF-SEED040,Wiring Harness,fatigue,high,2024-08-01,Plant B,LOT-1040,Replaced harness with updated routing,seed
DEF-SEED041,Pump Impeller,delamination,critical,2024-08-05,Plant C,LOT-1041,Condemned impeller raised fleet action,seed
DEF-SEED042,Avionics Box,contamination,medium,2024-08-10,Plant A,LOT-1042,Cleaned interior replaced seals,seed
DEF-SEED043,Frame Bracket,corrosion,low,2024-08-15,Plant B,LOT-1043,Applied corrosion treatment and recoated,seed
DEF-SEED044,Fuel Valve,wear,medium,2024-08-20,Plant C,LOT-1044,Replaced valve seat and lapping,seed
DEF-SEED045,Landing Gear Actuator,leakage,high,2024-08-25,Plant A,LOT-1045,Replaced actuator seals and retested,seed
DEF-SEED046,Engine Mount,fatigue,critical,2024-09-01,Plant B,LOT-1046,Replaced mount issued fleet inspection directive,seed
DEF-SEED047,Control Surface Hinge,corrosion,medium,2024-09-05,Plant C,LOT-1047,Treated and recoated hinge assembly,seed
DEF-SEED048,Oxygen Regulator,contamination,low,2024-09-10,Plant A,LOT-1048,Replaced regulator filter and flow-tested,seed
DEF-SEED049,Brake Assembly,crack,high,2024-09-15,Plant B,LOT-1049,Replaced brake disc assembly,seed
DEF-SEED050,Structural Rib,corrosion,medium,2024-09-20,Plant C,LOT-1050,Treated corrosion stop-drilled repaired per SRM,seed
DEF-SEED051,Hydraulic Pump Assembly,delamination,high,2024-09-25,Plant A,LOT-1051,Condemned pump raised engineering review,seed
DEF-SEED052,Control Valve Body,overheating,critical,2024-10-01,Plant B,LOT-1052,Replaced valve body investigated thermal cause,seed
DEF-SEED053,Actuator Rod,contamination,medium,2024-10-05,Plant C,LOT-1053,Flushed system replaced rod seals,seed
DEF-SEED054,Electrical Connector,short circuit,high,2024-10-10,Plant A,LOT-1054,Replaced connector arc-damaged circuit isolated,seed
DEF-SEED055,Bracket Assembly,vibration,low,2024-10-15,Plant B,LOT-1055,Added damping pads retorqued fasteners,seed
